trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.1, 'e': 0.978867388761685}",30,0,-158.68785302802118,"{0: 16, 1: 7, 2: 4, 3: 1, 4: 2}",0
120,False,"{'a': 0.1, 'e': 0.9785089851017784}",35,0,-189.71213034970702,"{0: 18, 1: 7, 2: 6, 3: 2, 4: 2}",0
121,False,"{'a': 0.1, 'e': 0.9781476007338057}",30,0,-210.71283266600835,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
122,False,"{'a': 0.1, 'e': 0.9777832367586061}",25,0,-78.12057467221112,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
123,False,"{'a': 0.1, 'e': 0.9774158942860959}",20,12,-73.23000351614779,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 1}",1
124,False,"{'a': 0.1, 'e': 0.9770455744352636}",35,0,-173.3182505109102,"{0: 24, 1: 3, 2: 4, 3: 1, 4: 3}",0
125,False,"{'a': 0.1, 'e': 0.9766722783341679}",20,0,-133.330528606309,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
126,False,"{'a': 0.1, 'e': 0.9762960071199334}",25,12,1.8478950625998465,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.1, 'e': 0.9759167619387474}",20,0,-0.868760899320776,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
128,False,"{'a': 0.1, 'e': 0.9755345439458566}",25,0,-262.6955291211118,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 5}",0
129,False,"{'a': 0.1, 'e': 0.9751493543055633}",20,0,-87.01255473730858,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
130,False,"{'a': 0.1, 'e': 0.9747611941912218}",20,13,-29.87737381409601,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.1, 'e': 0.9743700647852352}",25,0,-86.57474536954555,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
132,False,"{'a': 0.1, 'e': 0.9739759672790516}",30,0,-169.67041177204038,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
133,False,"{'a': 0.1, 'e': 0.9735789028731603}",25,0,-144.23502912786265,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
